trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
89,False,"{'a': 0.99, 'e': 0.40882017442254925}",20,0,-12.282078011438706,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
90,False,"{'a': 0.99, 'e': 0.4047319726783238}",20,0,-45.53370508892163,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
91,False,"{'a': 0.99, 'e': 0.40068465295154054}",25,10,8.552997088390429,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.99, 'e': 0.3966778064220251}",35,6,-2.2312674391025444,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 0}",1
93,False,"{'a': 0.99, 'e': 0.39271102835780486}",20,8,-1.150358009484795,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.99, 'e': 0.3887839180742268}",20,0,-3.7980054083143395,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
95,False,"{'a': 0.99, 'e': 0.38489607889348454}",20,0,-19.316224450326,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
96,False,"{'a': 0.99, 'e': 0.38104711810454966}",25,8,-28.18422951060248,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
97,False,"{'a': 0.99, 'e': 0.37723664692350417}",20,0,14.229641289566354,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.99, 'e': 0.37346428045426916}",20,0,-71.23597218110486,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
99,False,"{'a': 0.99, 'e': 0.36972963764972644}",25,0,-14.123788268233364,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
100,False,"{'a': 0.99, 'e': 0.3660323412732292}",20,8,19.318022711580557,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.99, 'e': 0.3623720178604969}",20,10,-1.2833752812603278,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.99, 'e': 0.3587482976818919}",25,0,-25.17663399344117,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
103,False,"{'a': 0.99, 'e': 0.355160814705073}",25,0,-24.390691611151386,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
104,False,"{'a': 0.99, 'e': 0.35160920655802225}",30,0,9.231416787011566,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
105,False,"{'a': 0.99, 'e': 0.348093114492442}",20,11,8.853079345068558,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.99, 'e': 0.3446121833475176}",20,10,-80.97475973476054,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
107,False,"{'a': 0.99, 'e': 0.34116606151404244}",25,0,-23.688226729436018,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
108,False,"{'a': 0.99, 'e': 0.337754400898902}",25,0,12.012306393604078,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
109,False,"{'a': 0.99, 'e': 0.334376856889913}",35,13,6.108375771723756,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.99, 'e': 0.33103308832101386}",25,3,-35.63605743782882,"{0: 18, 1: 1, 2: 1, 3: 2, 4: 0}",1
111,False,"{'a': 0.99, 'e': 0.3277227574378037}",25,1,-24.567946380467866,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 0}",1
112,False,"{'a': 0.99, 'e': 0.3244455298634257}",25,13,0.14454682631562799,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
